Year,Name,Code,State,Population
2012,SOUTH DAKOTA,SD,46,814180
2012,TENNESSEE,TN,47,6346105
2012,TEXAS,TX,48,25145561
2012,UTAH,UT,49,2763885
2012,VERMONT,VT,50,625741
2012,VIRGINIA,VA,51,8001024
2012,WASHINGTON,WA,53,6724540
2012,WEST VIRGINIA,WV,54,1852994
2012,WISCONSIN,WI,55,5686986
2012,WYOMING,WY,56,563626
2011,ALABAMA,AL,1,4626595
2011,ALASKA,AK,2,681111
2011,ARIZONA,AZ,4,6353421
2011,ARKANSAS,AR,5,2830557
2011,CALIFORNIA,CA,6,36377534
2011,COLORADO,CO,8,4842770
2011,CONNECTICUT,CT,9,3489868
2011,DELAWARE,DE,10,861953
2011,FLORIDA,FL,12,18199526
2011,GEORGIA,GA,13,9523297
2011,HAWAII,HI,15,1277356
2011,IDAHO,ID,16,1496145
2011,ILLINOIS,IL,17,12825809
2011,INDIANA,IN,18,6335862
2011,IOWA,IA,19,2983360
2011,KANSAS,KS,20,2777382
2011,KENTUCKY,KY,21,4236308
2011,LOUISIANA,LA,22,4373310
2011,MAINE,ME,23,1315398
2011,MARYLAND,MD,24,5618899
2011,MASSACHUSETTS,MA,25,6467915
2011,MICHIGAN,MI,26,10049790
2011,MINNESOTA,MN,27,5182360
2011,MISSISSIPPI,MS,28,2921030
2011,MISSOURI,MO,29,5878399
2011,MONTANA,MT,30,956624
2011,NEBRASKA,NE,31,1769473
2011,NEVADA,NV,32,2554344
2011,NEW HAMPSHIRE,NH,33,1312256
2011,NEW JERSEY,NJ,34,8653126
2011,NEW MEXICO,NM,35,1964402
2011,NEW YORK,NY,36,19429316
2011,NORTH CAROLINA,NC,37,9041594
2011,NORTH DAKOTA,ND,38,637904
2011,OHIO,OH,39,11477641
2011,OKLAHOMA,OK,40,3608123
2011,OREGON,OR,41,3735549
2011,PENNSYLVANIA,PA,42,12419930
2011,RHODE ISLAND,RI,44,1053136
2011,SOUTH CAROLINA,SC,45,4404914
2011,SOUTH DAKOTA,SD,46,795689
2011,TENNESSEE,TN,47,6149116
2011,TEXAS,TX,48,23843432
2011,UTAH,UT,49,2668925
2011,VERMONT,VT,50,620748
2011,VIRGINIA,VA,51,7698775
2011,WASHINGTON,WA,53,6449511
2011,WEST VIRGINIA,WV,54,1809836
2011,WISCONSIN,WI,55,5598893
2011,WYOMING,WY,56,523252
2010,ALABAMA,AL,1,4626595
2010,ALASKA,AK,2,681111
2010,ARIZONA,AZ,4,6353421
2010,ARKANSAS,AR,5,2830557
2010,CALIFORNIA,CA,6,36377534
2010,COLORADO,CO,8,4842770
2010,CONNECTICUT,CT,9,3489868
2010,DELAWARE,DE,10,861953
2010,FLORIDA,FL,12,18199526
2010,GEORGIA,GA,13,9523297
2010,HAWAII,HI,15,1277356
2010,IDAHO,ID,16,1496145
2010,ILLINOIS,IL,17,12825809
2010,INDIANA,IN,18,6335862
2010,IOWA,IA,19,2983360
2010,KANSAS,KS,20,2777382
2010,KENTUCKY,KY,21,4236308
2010,LOUISIANA,LA,22,4373310
2010,MAINE,ME,23,1315398
2010,MARYLAND,MD,24,5618899
2010,MASSACHUSETTS,MA,25,6467915
2010,MICHIGAN,MI,26,10049790
2010,MINNESOTA,MN,27,5182360
2010,MISSISSIPPI,MS,28,2921030
2010,MISSOURI,MO,29,5878399
2010,MONTANA,MT,30,956624
2010,NEBRASKA,NE,31,1769473
2010,NEVADA,NV,32,2554344
2010,NEW HAMPSHIRE,NH,33,1312256
2010,NEW JERSEY,NJ,34,8653126
2010,NEW MEXICO,NM,35,1964402
2010,NEW YORK,NY,36,19429316
2010,NORTH CAROLINA,NC,37,9041594
2010,NORTH DAKOTA,ND,38,637904
2010,OHIO,OH,39,11477641
2010,OKLAHOMA,OK,40,3608123
2010,OREGON,OR,41,3735549
2010,PENNSYLVANIA,PA,42,12419930
2010,RHODE ISLAND,RI,44,1053136
2010,SOUTH CAROLINA,SC,45,4404914
2010,SOUTH DAKOTA,SD,46,795689
2010,TENNESSEE,TN,47,6149116
2010,TEXAS,TX,48,23843432
2010,UTAH,UT,49,2668925
2010,VERMONT,VT,50,620748
2010,VIRGINIA,VA,51,7698775
2010,WASHINGTON,WA,53,6449511
2010,WEST VIRGINIA,WV,54,1809836
2010,WISCONSIN,WI,55,5598893
2010,WYOMING,WY,56,523252
2009,ALABAMA,AL,1,4590240
2009,ALASKA,AK,2,677450
2009,ARIZONA,AZ,4,6165689
2009,ARKANSAS,AR,5,2809111
2009,CALIFORNIA,CA,6,36249872
2009,COLORADO,CO,8,4766248
2009,CONNECTICUT,CT,9,3495753
2009,DELAWARE,DE,10,852747
2009,FLORIDA,FL,12,18057508
2009,GEORGIA,GA,13,9342080
2009,HAWAII,HI,15,1278635
2009,IDAHO,ID,16,1463878
2009,ILLINOIS,IL,17,12777042
2009,INDIANA,IN,18,6302646
2009,IOWA,IA,19,2972566
2009,KANSAS,KS,20,2755817
2009,KENTUCKY,KY,21,4204444
2009,LOUISIANA,LA,22,4243288
2009,MAINE,ME,23,1314910
2009,MARYLAND,MD,24,5602017
2009,MASSACHUSETTS,MA,25,6434389
2009,MICHIGAN,MI,26,10102322
2009,MINNESOTA,MN,27,5154586
2009,MISSISSIPPI,MS,28,2899112
2009,MISSOURI,MO,29,5837639
2009,MONTANA,MT,30,946795
2009,NEBRASKA,NE,31,1763765
2009,NEVADA,NV,32,2492427
2009,NEW HAMPSHIRE,NH,33,1311821
2009,NEW JERSEY,NJ,34,8666075
2009,NEW MEXICO,NM,35,1942302
2009,NEW YORK,NY,36,19281988
2009,NORTH CAROLINA,NC,37,8869442
2009,NORTH DAKOTA,ND,38,637460
2009,OHIO,OH,39,11463513
2009,OKLAHOMA,OK,40,3577536
2009,OREGON,OR,41,3691084
2009,PENNSYLVANIA,PA,42,12402817
2009,RHODE ISLAND,RI,44,1061641
2009,SOUTH CAROLINA,SC,45,4330108
2009,SOUTH DAKOTA,SD,46,788467
2009,TENNESSEE,TN,47,6074913
2009,TEXAS,TX,48,23407629
2009,UTAH,UT,49,2579535
2009,VERMONT,VT,50,620778
2009,VIRGINIA,VA,51,7640249
2009,WASHINGTON,WA,53,6374910
2009,WEST VIRGINIA,WV,54,1808699
2009,WISCONSIN,WI,55,5572660
2009,WYOMING,WY,56,512757
2008,ALABAMA,AL,1,4590240
2008,ALASKA,AK,2,677450
2008,ARIZONA,AZ,4,6165689
2008,ARKANSAS,AR,5,2809111
2008,CALIFORNIA,CA,6,36249872
2008,COLORADO,CO,8,4766248
2008,CONNECTICUT,CT,9,3495753
2008,DELAWARE,DE,10,852747
2008,FLORIDA,FL,12,18057508
2008,GEORGIA,GA,13,9342080
2008,HAWAII,HI,15,1278635
2008,IDAHO,ID,16,1463878
2008,ILLINOIS,IL,17,12777042
2008,INDIANA,IN,18,6302646
2008,IOWA,IA,19,2972566
2008,KANSAS,KS,20,2755817
2008,KENTUCKY,KY,21,4204444
2008,LOUISIANA,LA,22,4243288
2008,MAINE,ME,23,1314910
2008,MARYLAND,MD,24,5602017
2008,MASSACHUSETTS,MA,25,6434389
2008,MICHIGAN,MI,26,10102322
2008,MINNESOTA,MN,27,5154586
